TSNE1,TSNE2
-2.0040145,-26.896057
23.887642,-31.248592
30.755049,-32.224392
4.623875,-16.62776
62.79218,0.35346502
49.990494,18.823204
-10.077002,13.739904
-70.407455,-11.076672
64.653366,-8.744861
32.472095,11.003165
2.3912425,13.955583
56.995064,-27.919636
5.953577,-21.210007
-69.984184,-10.377016
27.945024,-36.57922
-70.252846,-11.192727
-74.12579,-9.034664
1.5068151,16.466576
-4.43787,46.842205
-19.112648,-4.641335
9.660792,69.10456
-27.187279,40.817528
31.417566,-32.371456
21.493555,-31.11508
-70.28427,-11.174444
61.205288,-17.11634
-38.88884,38.888775
-10.129097,-50.994297
13.783226,18.258673
-21.469234,38.044167
-70.37412,-10.536571
20.321005,35.264984
-6.094075,-29.805279
-65.82538,2.7605572
-44.964794,20.406446
-44.428196,-24.682438
-11.929671,-45.901512
63.40469,7.7223825
-47.4975,23.47777
-69.815285,-10.723221
0.09147637,17.166508
36.667496,15.851208
-4.0354466,-32.79516
49.461025,18.479143
60.156254,-23.021025
5.84251,-23.891726
23.122429,39.325848
22.18181,35.18252
-9.456055,-4.5150323
-67.164116,-0.8860946
-60.200127,0.8805102
-22.122635,-11.444813
16.668217,14.815958
68.897446,-4.916744
-49.068874,18.383959
9.132992,67.80516
-69.8883,-11.109459
11.581764,-11.79218
16.062006,19.305483
-32.670616,-29.466812
29.21974,-34.01293
-33.922413,-10.291986
-60.774914,14.879203
19.213734,39.189606
-6.3266773,41.598053
-5.0056043,33.631413
15.132298,-64.993095
53.862404,-27.877577
30.201355,-38.5464
0.53458077,0.8879825
-70.12828,-10.327888
59.395134,22.808954
39.68605,4.584456
27.762798,-27.855661
6.5094028,-59.551758
-8.1460285,-51.20003
57.791256,-13.811635
63.703243,-10.536034
38.300873,6.047943
4.196041,-28.924736
7.073517,-58.451736
-3.9867196,44.65696
0.21789975,57.686012
1.8124853,-31.76085
26.675722,-33.985695
-45.300762,-27.337772
-18.506784,-34.125813
15.743098,18.38438
-0.7203148,-58.51085
42.837833,12.160915
19.676943,36.712887
9.622833,66.180786
37.385303,18.047329
-25.1461,3.8620052
-32.680634,42.5256
44.028988,17.981138
20.119167,28.295826
-52.67042,11.376007
-37.372963,24.621996
7.799319,-11.235236
19.725702,28.464466
31.556313,8.880152
56.105408,21.91083
29.63997,-22.129917
33.632034,9.980519
6.8628488,66.86155
-40.352413,26.859377
9.140274,66.80259
-63.819717,5.455024
55.70425,22.596775
55.797096,-25.07173
30.85589,-33.598755
71.74286,7.4579573
-31.40444,-22.44333
2.717306,58.55632
-54.15953,13.556318
